                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4662,                 1.2733,                 1.4136,                0.57935,                0.43149,                0.40097,                0.19352,                 1.8526,                 1.5139,                 1.7743,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.4517,                 1.2677,                  1.409,                0.59834,                 0.4924,                0.43979,                0.21797,                 1.8193,                 1.4305,                 1.7708,               0.000307,               0.000307,               0.000307
                     37,                 1.4485,                 1.2606,                  1.406,                0.60744,                0.45264,                0.44275,                0.22099,                 1.8215,                 1.4424,                 1.7767,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.4485,                 1.2547,                 1.4083,                 0.4118,                0.47252,                0.42101,                0.20408,                 1.8353,                 1.4846,                 1.7595,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.4262,                 1.2307,                 1.3975,                 0.4397,                0.43604,                0.40824,                0.20122,                  1.838,                 1.4522,                 1.7725,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.4199,                 1.2204,                 1.3885,                0.46146,                0.42865,                  0.444,                0.21556,                 1.8418,                 1.4457,                 1.7761,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.4448,                 1.2032,                 1.4647,                0.45065,                  0.428,                0.42186,                0.20249,                 1.8594,                 1.4391,                 1.8015,               0.000208,               0.000208,               0.000208
                     42,                 1.4223,                 1.1579,                 1.4545,                0.40766,                0.45443,                0.41938,                0.20668,                 1.8552,                 1.4309,                 1.8085,              0.0001882,              0.0001882,              0.0001882
                     43,                    1.4,                 1.1363,                 1.4404,                0.62553,                0.45364,                0.43995,                0.21359,                 1.8632,                 1.4191,                 1.8095,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.3762,                 1.1037,                 1.4199,                0.43445,                0.45897,                0.43359,                0.21273,                 1.8438,                 1.4137,                 1.8169,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.3679,                 1.0884,                 1.4188,                0.44306,                0.48013,                0.45291,                0.21818,                 1.8534,                 1.4137,                 1.8195,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.3544,                 1.0655,                 1.4153,                 0.6188,                0.48198,                0.44585,                0.21963,                 1.8635,                 1.4015,                 1.8307,               0.000109,               0.000109,               0.000109
                     47,                 1.3448,                 1.0603,                 1.4044,                 0.4634,                0.47875,                0.45157,                0.22006,                 1.8582,                 1.4109,                 1.8266,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.3362,                 1.0411,                 1.3909,                0.63865,                 0.4554,                0.43217,                0.21423,                 1.8538,                 1.4152,                 1.8292,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                  1.325,                  1.039,                 1.3877,                0.47082,                0.45918,                0.44456,                0.21813,                 1.8489,                 1.3935,                 1.8269,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 1.3158,                 1.0194,                 1.3812,                0.47107,                0.43239,                0.43026,                0.21313,                 1.8611,                 1.4028,                 1.8363,               2.98e-05,               2.98e-05,               2.98e-05
